plate_plasmid,lib-id-extended,strain-name,barcode
plate2-C8_phh_A-South-Africa-R06240-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_43,A/South Africa/R06240/2023,bc2
plate2-C9_phh_A-South-Africa-R06240-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_43,A/South Africa/R06240/2023,bc3
plate2-C10_phh_A-Solwezi-13-NIC-001-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_44,A/Solwezi/13-NIC-001/2023,bc1
plate2-C11_phh_A-Solwezi-13-NIC-001-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_44,A/Solwezi/13-NIC-001/2023,bc2
plate2-C12_phh_A-Solwezi-13-NIC-001-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_44,A/Solwezi/13-NIC-001/2023,bc3
plate2-D1_phh_A-Sydney-715-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_45,A/Sydney/715/2023,bc1
plate2-D1_phh_A-Sydney-715-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_45,A/Sydney/715/2023,bc1
plate2-D2_phh_A-Sydney-715-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_45,A/Sydney/715/2023,bc2
plate2-D2_phh_A-Sydney-715-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_45,A/Sydney/715/2023,bc2
plate2-D3_phh_A-Sydney-715-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_45,A/Sydney/715/2023,bc3
plate2-D3_phh_A-Sydney-715-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_45,A/Sydney/715/2023,bc3
plate2-D4_phh_A-Ontario-RV00796-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_46,A/Ontario/RV00796/2023,bc1
plate2-D4_phh_A-Ontario-RV00796-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_46,A/Ontario/RV00796/2023,bc1
plate2-D5_phh_A-Ontario-RV00796-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_46,A/Ontario/RV00796/2023,bc2
plate2-D5_phh_A-Ontario-RV00796-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_46,A/Ontario/RV00796/2023,bc2
plate2-D6_phh_A-Ontario-RV00796-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_46,A/Ontario/RV00796/2023,bc3
plate2-D6_phh_A-Ontario-RV00796-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_46,A/Ontario/RV00796/2023,bc3
plate2-D7_phh_A-Samut-Songkhram-THIS061-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_47,A/Samut Songkhram/THIS061/2023,bc1
plate2-D7_phh_A-Samut-Songkhram-THIS061-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_47,A/Samut Songkhram/THIS061/2023,bc1
plate2-D8_phh_A-Samut-Songkhram-THIS061-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_47,A/Samut Songkhram/THIS061/2023,bc2
plate2-D8_phh_A-Samut-Songkhram-THIS061-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_47,A/Samut Songkhram/THIS061/2023,bc2
plate2-D9_phh_A-Samut-Songkhram-THIS061-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_47,A/Samut Songkhram/THIS061/2023,bc3
plate2-D9_phh_A-Samut-Songkhram-THIS061-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_47,A/Samut Songkhram/THIS061/2023,bc3
plate2-D10_phh_A-Bangkok-P3599-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_48,A/Bangkok/P3599/2023,bc1
plate2-D10_phh_A-Bangkok-P3599-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_48,A/Bangkok/P3599/2023,bc1
plate2-D11_phh_A-Bangkok-P3599-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_48,A/Bangkok/P3599/2023,bc2
plate2-D11_phh_A-Bangkok-P3599-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_48,A/Bangkok/P3599/2023,bc2
plate2-D12_phh_A-Bangkok-P3599-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_48,A/Bangkok/P3599/2023,bc3
plate2-D12_phh_A-Bangkok-P3599-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_48,A/Bangkok/P3599/2023,bc3
plate2-E1_phh_A-Guangdong-Futian-1980-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_49,A/Guangdong-Futian/1980/2023,bc1
plate2-E1_phh_A-Guangdong-Futian-1980-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_49,A/Guangdong-Futian/1980/2023,bc1
plate2-E2_phh_A-Guangdong-Futian-1980-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_49,A/Guangdong-Futian/1980/2023,bc2
plate2-E2_phh_A-Guangdong-Futian-1980-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_49,A/Guangdong-Futian/1980/2023,bc2
plate2-E3_phh_A-Guangdong-Futian-1980-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_49,A/Guangdong-Futian/1980/2023,bc3
plate2-E3_phh_A-Guangdong-Futian-1980-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_49,A/Guangdong-Futian/1980/2023,bc3
plate2-E4_phh_A-South-Africa-K056872-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_50,A/South Africa/K056872/2023,bc1
plate2-E5_phh_A-South-Africa-K056872-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_50,A/South Africa/K056872/2023,bc2
plate2-E6_phh_A-South-Africa-K056872-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_50,A/South Africa/K056872/2023,bc3
plate2-E7_phh_A-South-Africa-KO56863-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_51,A/South Africa/K056863/2023,bc1
plate2-E8_phh_A-South-Africa-KO56863-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_51,A/South Africa/K056863/2023,bc2
plate2-E9_phh_A-South-Africa-KO56863-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_51,A/South Africa/K056863/2023,bc3
plate2-E10_phh_A-Saskatchewan-SKFLU317847-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_52,A/Saskatchewan/SKFLU317847/2023,bc1
plate2-E10_phh_A-Saskatchewan-SKFLU317847-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_52,A/Saskatchewan/SKFLU317847/2023,bc1
plate2-E11_phh_A-Saskatchewan-SKFLU317847-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_52,A/Saskatchewan/SKFLU317847/2023,bc2
plate2-E11_phh_A-Saskatchewan-SKFLU317847-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_52,A/Saskatchewan/SKFLU317847/2023,bc2
plate2-E12_phh_A-Saskatchewan-SKFLU317847-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_52,A/Saskatchewan/SKFLU317847/2023,bc3
plate2-E12_phh_A-Saskatchewan-SKFLU317847-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_52,A/Saskatchewan/SKFLU317847/2023,bc3
plate2-F1_phh_A-Saint-Petersburg-RII-MH144113-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_53,A/Saint-Petersburg/RII-166/2023,bc1
plate2-F1_phh_A-Saint-Petersburg-RII-MH144113-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_53,A/Saint-Petersburg/RII-166/2023,bc1
plate2-F2_phh_A-Saint-Petersburg-RII-MH144113-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_53,A/Saint-Petersburg/RII-166/2023,bc2
plate2-F2_phh_A-Saint-Petersburg-RII-MH144113-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_53,A/Saint-Petersburg/RII-166/2023,bc2
plate2-F3_phh_A-Saint-Petersburg-RII-MH144113-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_53,A/Saint-Petersburg/RII-166/2023,bc3
plate2-F3_phh_A-Saint-Petersburg-RII-MH144113-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_53,A/Saint-Petersburg/RII-166/2023,bc3
plate2-F4_phh_A-Finland-399-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_54,A/Finland/399/2023,bc1
plate2-F5_phh_A-Finland-399-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_54,A/Finland/399/2023,bc2
plate2-F6_phh_A-Finland-399-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_54,A/Finland/399/2023,bc3
plate2-F7_phh_A-SouthSudan-642-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_55,A/SouthSudan/642/2023,bc1
plate2-F7_phh_A-SouthSudan-642-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_55,A/SouthSudan/642/2023,bc1
plate2-F8_phh_A-SouthSudan-642-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_55,A/SouthSudan/642/2023,bc2
plate2-F8_phh_A-SouthSudan-642-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_55,A/SouthSudan/642/2023,bc2
plate2-F9_phh_A-SouthSudan-642-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_55,A/SouthSudan/642/2023,bc3
plate2-F9_phh_A-SouthSudan-642-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_55,A/SouthSudan/642/2023,bc3
plate2-F10_phh_A-SouthSudan-631-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_56,A/SouthSudan/631/2023,bc1
plate2-F10_phh_A-SouthSudan-631-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_56,A/SouthSudan/631/2023,bc1
plate2-F11_phh_A-SouthSudan-631-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_56,A/SouthSudan/631/2023,bc2
plate2-F11_phh_A-SouthSudan-631-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_56,A/SouthSudan/631/2023,bc2
plate2-F12_phh_A-SouthSudan-631-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_56,A/SouthSudan/631/2023,bc3
plate2-F12_phh_A-SouthSudan-631-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_56,A/SouthSudan/631/2023,bc3
plate2-G1_phh_A-Catalonia-2041146NS-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_57,A/Catalonia/2041146NS/2023,bc1
plate2-G1_phh_A-Catalonia-2041146NS-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_57,A/Catalonia/2041146NS/2023,bc1
plate2-G2_phh_A-Catalonia-2041146NS-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_57,A/Catalonia/2041146NS/2023,bc2
plate2-G2_phh_A-Catalonia-2041146NS-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_57,A/Catalonia/2041146NS/2023,bc2
plate2-G3_phh_A-Catalonia-2041146NS-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_57,A/Catalonia/2041146NS/2023,bc3
plate2-G3_phh_A-Catalonia-2041146NS-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_57,A/Catalonia/2041146NS/2023,bc3
plate2-G4_phh_A-Bhutan-0006-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_58,A/Bhutan/0006/2023,bc1
plate2-G4_phh_A-Bhutan-0006-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_58,A/Bhutan/0006/2023,bc1
plate2-G5_phh_A-Bhutan-0006-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_58,A/Bhutan/0006/2023,bc2
plate2-G5_phh_A-Bhutan-0006-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_58,A/Bhutan/0006/2023,bc2
plate2-G6_phh_A-Bhutan-0006-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_58,A/Bhutan/0006/2023,bc3
plate2-G6_phh_A-Bhutan-0006-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_58,A/Bhutan/0006/2023,bc3
plate2-G7_phh_A-Bhutan-FLU-BTG-00988-2022_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_59,A/Bhutan/FLU-BTG-00988/2022,bc1
plate2-G7_phh_A-Bhutan-FLU-BTG-00988-2022_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_59,A/Bhutan/FLU-BTG-00988/2022,bc1
plate2-G8_phh_A-Bhutan-FLU-BTG-00988-2022_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_59,A/Bhutan/FLU-BTG-00988/2022,bc2
plate2-G8_phh_A-Bhutan-FLU-BTG-00988-2022_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_59,A/Bhutan/FLU-BTG-00988/2022,bc2
plate2-G9_phh_A-Bhutan-FLU-BTG-00988-2022_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_59,A/Bhutan/FLU-BTG-00988/2022,bc3
plate2-G9_phh_A-Bhutan-FLU-BTG-00988-2022_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_59,A/Bhutan/FLU-BTG-00988/2022,bc3
plate2-G10_phh_A-Finland-391-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_60,A/Finland/391/2023,bc1
plate2-G11_phh_A-Finland-391-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_60,A/Finland/391/2023,bc2
plate2-G12_phh_A-Finland-391-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_60,A/Finland/391/2023,bc3
plate2-H1_phh_A-KANAGAWA-IC2239-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_61,A/KANAGAWA/IC2239/2023,bc1
plate2-H1_phh_A-KANAGAWA-IC2239-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_61,A/KANAGAWA/IC2239/2023,bc1
plate2-H2_phh_A-KANAGAWA-IC2239-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_61,A/KANAGAWA/IC2239/2023,bc2
plate2-H2_phh_A-KANAGAWA-IC2239-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_61,A/KANAGAWA/IC2239/2023,bc2
plate2-H3_phh_A-KANAGAWA-IC2239-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_61,A/KANAGAWA/IC2239/2023,bc3
plate2-H3_phh_A-KANAGAWA-IC2239-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_61,A/KANAGAWA/IC2239/2023,bc3
plate2-H4_phh_A-South-Africa-R06359-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_62,A/South Africa/R06359/2023,bc1
plate2-H5_phh_A-South-Africa-R06359-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_62,A/South Africa/R06359/2023,bc2
plate2-H6_phh_A-South-Africa-R06359-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_62,A/South Africa/R06359/2023,bc3
plate2-H7_phh_A-Brisbane-429-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_63,A/Brisbane/429/2023,bc1
plate2-H8_phh_A-Brisbane-429-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_63,A/Brisbane/429/2023,bc2
plate2-H9_phh_A-Brisbane-429-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_63,A/Brisbane/429/2023,bc3
plate2-H10_phh_A-KANAGAWA-AC2316-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_64,A/KANAGAWA/AC2316/2023,bc1
plate2-H10_phh_A-KANAGAWA-AC2316-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_64,A/KANAGAWA/AC2316/2023,bc1
plate2-H11_phh_A-KANAGAWA-AC2316-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_64,A/KANAGAWA/AC2316/2023,bc2
plate2-H11_phh_A-KANAGAWA-AC2316-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_64,A/KANAGAWA/AC2316/2023,bc2
plate2-H12_phh_A-KANAGAWA-AC2316-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_64,A/KANAGAWA/AC2316/2023,bc3
plate2-H12_phh_A-KANAGAWA-AC2316-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_64,A/KANAGAWA/AC2316/2023,bc3
plate3-A1_phh_A-Busan-1301-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_65,A/Busan/1301/2023,bc1
plate3-A2_phh_A-Busan-1301-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_65,A/Busan/1301/2023,bc2
plate3-A3_phh_A-Busan-1301-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_65,A/Busan/1301/2023,bc3
plate3-A4_phh_A-TECPAN-017FLU-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_66,A/TECPAN/017FLU/2023,bc1
plate3-A4_phh_A-TECPAN-017FLU-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_66,A/TECPAN/017FLU/2023,bc1
plate3-A5_phh_A-TECPAN-017FLU-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_66,A/TECPAN/017FLU/2023,bc2
plate3-A5_phh_A-TECPAN-017FLU-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_66,A/TECPAN/017FLU/2023,bc2
plate3-A6_phh_A-TECPAN-017FLU-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_66,A/TECPAN/017FLU/2023,bc3
plate3-A6_phh_A-TECPAN-017FLU-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_66,A/TECPAN/017FLU/2023,bc3
plate3-A7_phh_A-EHIME-50-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_67,A/EHIME/50/2023,bc1
plate3-A7_phh_A-EHIME-50-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_67,A/EHIME/50/2023,bc1
plate3-A8_phh_A-EHIME-50-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_67,A/EHIME/50/2023,bc2
plate3-A8_phh_A-EHIME-50-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_67,A/EHIME/50/2023,bc2
plate3-A9_phh_A-EHIME-50-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_67,A/EHIME/50/2023,bc3
plate3-A9_phh_A-EHIME-50-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_67,A/EHIME/50/2023,bc3
plate3-A10_phh_A-Romania-543634-2022_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_68,A/Romania/543634/2022,bc1
plate3-A11_phh_A-Romania-543634-2022_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_68,A/Romania/543634/2022,bc2
plate3-A12_phh_A-Romania-543634-2022_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_68,A/Romania/543634/2022,bc3
plate3-B1_phh_A-YAMAGATA-98-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_69,A/YAMAGATA/98/2023,bc1
plate3-B1_phh_A-YAMAGATA-98-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_69,A/YAMAGATA/98/2023,bc1
plate3-B2_phh_A-YAMAGATA-98-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_69,A/YAMAGATA/98/2023,bc2
plate3-B2_phh_A-YAMAGATA-98-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_69,A/YAMAGATA/98/2023,bc2
plate3-B3_phh_A-YAMAGATA-98-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_69,A/YAMAGATA/98/2023,bc3
plate3-B3_phh_A-YAMAGATA-98-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_69,A/YAMAGATA/98/2023,bc3
plate3-B4_phh_A-Schleswig-Holstein-4-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_70,A/Schleswig-Holstein/4/2023,bc1
plate3-B5_phh_A-Schleswig-Holstein-4-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_70,A/Schleswig-Holstein/4/2023,bc2
plate3-B6_phh_A-Schleswig-Holstein-4-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_70,A/Schleswig-Holstein/4/2023,bc3
plate3-B7_phh_A-SENDAI-45-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_71,A/SENDAI/45/2023,bc1
plate3-B7_phh_A-SENDAI-45-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_71,A/SENDAI/45/2023,bc1
plate3-B8_phh_A-SENDAI-45-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_71,A/SENDAI/45/2023,bc2
plate3-B8_phh_A-SENDAI-45-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_71,A/SENDAI/45/2023,bc2
plate3-B9_phh_A-SENDAI-45-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_71,A/SENDAI/45/2023,bc3
plate3-B9_phh_A-SENDAI-45-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_71,A/SENDAI/45/2023,bc3
plate3-B10_phh_A-South-Africa-R06506-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_72,A/South Africa/R06506/2023,bc1
plate3-B11_phh_A-South-Africa-R06506-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_72,A/South Africa/R06506/2023,bc2
plate3-B12_phh_A-South-Africa-R06506-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_72,A/South Africa/R06506/2023,bc3
plate3-C1_phh_A-South-Africa-R05384-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_73,A/South Africa/R05384/2023,bc1
plate3-C2_phh_A-South-Africa-R05384-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_73,A/South Africa/R05384/2023,bc2
plate3-C3_phh_A-South-Africa-R05384-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_73,A/South Africa/R05384/2023,bc3
plate3-C4_phh_A-South-Africa-R07073-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_74,A/South Africa/R07073/2023,bc1
plate3-C5_phh_A-South-Africa-R07073-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_74,A/South Africa/R07073/2023,bc2
plate3-C6_phh_A-South-Africa-R07073-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_74,A/South Africa/R07073/2023,bc3
plate3-C7_phh_A-Luga-RII-11393S-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_75,A/Luga/RII-11393S/2023,bc1
plate3-C7_phh_A-Luga-RII-11393S-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_75,A/Luga/RII-11393S/2023,bc1
plate3-C8_phh_A-Luga-RII-11393S-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_75,A/Luga/RII-11393S/2023,bc2
plate3-C8_phh_A-Luga-RII-11393S-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_75,A/Luga/RII-11393S/2023,bc2
plate3-C9_phh_A-Luga-RII-11393S-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_75,A/Luga/RII-11393S/2023,bc3
plate3-C9_phh_A-Luga-RII-11393S-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_75,A/Luga/RII-11393S/2023,bc3
plate3-C10_phh_A-Surat-Thani-P152-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_76,A/Surat Thani/P152/2023,bc1
plate3-C10_phh_A-Surat-Thani-P152-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_76,A/Surat Thani/P152/2023,bc1
plate3-C11_phh_A-Surat-Thani-P152-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_76,A/Surat Thani/P152/2023,bc2
plate3-C11_phh_A-Surat-Thani-P152-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_76,A/Surat Thani/P152/2023,bc2
plate3-C12_phh_A-Surat-Thani-P152-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_76,A/Surat Thani/P152/2023,bc3
plate3-C12_phh_A-Surat-Thani-P152-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_76,A/Surat Thani/P152/2023,bc3
plate3-D1_phh_A-Jeju-1047-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_77,A/Jeju/1047/2023,bc1
plate3-D2_phh_A-Jeju-1047-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_77,A/Jeju/1047/2023,bc2
plate3-D3_phh_A-Jeju-1047-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_77,A/Jeju/1047/2023,bc3
plate3-D4_phh_A-South-Dakota-22-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_78,A/South Dakota/22/2023,bc1
plate3-D4_phh_A-South-Dakota-22-2023_HA_WSNflank_bc1,flu-seqneut-H3-2023to2024_H3N2_78,A/South Dakota/22/2023,bc1
plate3-D5_phh_A-South-Dakota-22-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_78,A/South Dakota/22/2023,bc2
plate3-D5_phh_A-South-Dakota-22-2023_HA_WSNflank_bc2,flu-seqneut-H3-2023to2024_H3N2_78,A/South Dakota/22/2023,bc2
plate3-D6_phh_A-South-Dakota-22-2023_HA_WSNflank_bc3,flu-seqneut-H3-2023to2024_H3N2_78,A/South Dakota/22/2023,bc3
